"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Mar/22";"Fev/22";"Jan/22";"Competência";"Data de atualização"
"UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO (352683)";"Médico Hospitalar";"Médio";"53";"64";"   4,59";"   7,30";"   7,93";"202201";"19/02/2022 09:24:50"
"ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800)";"Médico Hospitalar";"Médio";"55";"53";"   4,33";"   7,05";"   7,87";"202201";"19/02/2022 09:24:50"
"UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA (356123)";"Médico Hospitalar";"Médio";"45";"44";"   5,46";"   7,29";"   7,26";"202201";"19/02/2022 09:24:50"
"UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO (344397)";"Médico Hospitalar";"Médio";"64";"65";"   3,68";"   4,85";"   6,45";"202201";"19/02/2022 09:24:50"
"MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA. (328537)";"Médico Hospitalar";"Médio";"68";"74";"   3,49";"   4,36";"   4,36";"202201";"19/02/2022 09:24:50"
"UNIMED MARANHÃO DO SUL - COOPERATIVA DE TRABALHO MÉDICO (352543)";"Médico Hospitalar";"Médio";"70";"67";"   3,42";"   4,22";"   5,25";"202201";"19/02/2022 09:24:50"
"BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A. (419419)";"Odontológica";"Grande";"5";"6";"   0,36";"   0,40";"   0,42";"202201";"19/02/2022 09:24:50"
"CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA (368181)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ODONTOCEL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA - ME (421596)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO PONTA GROSSA COOPERATIVA ODONTOLÓGICA (315818)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"SOCIEDADE BENECAP DE ASSISTÊNCIA À SAÚDE (415898)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ADVANCE PLANOS DE SAÚDE LTDA (335657)";"Médico Hospitalar";"Pequeno";"33";"73";"  12,37";"  12,37";"  12,33";"202201";"19/02/2022 09:24:50"
"CEMIL CENTRO MEDICO DE ITU LTDA. (300012)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA (419699)";"Médico Hospitalar";"Pequeno";"63";"65";"   4,36";"   6,64";"   5,47";"202201";"19/02/2022 09:24:50"
"UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA (335215)";"Médico Hospitalar";"Pequeno";"43";"58";"   8,08";"  12,91";"   9,69";"202201";"19/02/2022 09:24:50"
"CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND (413518)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO (354678)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA (342131)";"Médico Hospitalar";"Pequeno";"89";"148";"   2,66";"   4,00";"   3,99";"202201";"19/02/2022 09:24:50"
"SOCIEDADE BENEFICENTE DEZOITO DE JULHO (413721)";"Médico Hospitalar";"Pequeno";"98";"148";"   2,30";"   3,00";"   2,99";"202201";"19/02/2022 09:24:50"
"UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO (328308)";"Médico Hospitalar";"Pequeno";"102";"135";"   2,23";"   3,71";"   3,70";"202201";"19/02/2022 09:24:50"
"UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO (345776)";"Médico Hospitalar";"Pequeno";"177";"195";"   0,51";"   1,01";"   1,02";"202201";"19/02/2022 09:24:50"
"UNIMED DE FERNANDOPOLIS - COOPERATIVA DE TRABALHO MÉDICO (326089)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"   1,44";"202201";"19/02/2022 09:24:50"
"UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO (351792)";"Médico Hospitalar";"Médio";"117";"138";"   1,30";"   3,46";"   2,18";"202201";"19/02/2022 09:24:50"
"CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA (340782)";"Médico Hospitalar";"Grande";"8";"10";"  10,17";"  11,44";"  11,59";"202201";"19/02/2022 09:24:50"
"PROMED ASSISTENCIA MEDICA LTDA (348805)";"Médico Hospitalar";"Grande";"23";"27";"   7,08";"   7,55";"   7,76";"202201";"19/02/2022 09:24:50"
"SAMP ESPÍRITO SANTO ASSISTÊNCIA MÉDICA S.A. (342033)";"Médico Hospitalar";"Grande";"35";"36";"   5,07";"   5,94";"   6,70";"202201";"19/02/2022 09:24:50"
"FILOSANITAS SAUDE LTDA (410888)";"Médico Hospitalar";"Pequeno";"137";"196";"   1,31";"   1,38";"   1,48";"202201";"19/02/2022 09:24:50"
"IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA (319422)";"Médico Hospitalar";"Pequeno";"176";"192";"   0,52";"   2,10";"   2,62";"202201";"19/02/2022 09:24:50"
"UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO (336858)";"Médico Hospitalar";"Pequeno";"149";"194";"   1,03";"   1,03";"   1,55";"202201";"19/02/2022 09:24:50"
"UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO (318035)";"Médico Hospitalar";"Pequeno";"145";"187";"   1,10";"   1,10";"   1,65";"202201";"19/02/2022 09:24:50"
"UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO (324566)";"Médico Hospitalar";"Pequeno";"169";"196";"   0,56";"   0,56";"   1,11";"202201";"19/02/2022 09:24:50"
"EVANGELICO SAUDE LTDA. (401480)";"Médico Hospitalar";"Pequeno";"136";"142";"   1,31";"   3,14";"   3,40";"202201";"19/02/2022 09:24:50"
"UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO (353876)";"Médico Hospitalar";"Pequeno";"115";"186";"   1,89";"   1,90";"   1,90";"202201";"19/02/2022 09:24:50"
"UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO (302228)";"Médico Hospitalar";"Pequeno";"133";"186";"   1,36";"   1,36";"   1,36";"202201";"19/02/2022 09:24:50"
"COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA (317012)";"Médico Hospitalar";"Pequeno";"178";"193";"   0,50";"   0,50";"   0,50";"202201";"19/02/2022 09:24:50"
"UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO (357391)";"Médico Hospitalar";"Grande";"29";"30";"   6,59";"   7,54";"   8,12";"202201";"19/02/2022 09:24:50"
"GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA (309222)";"Médico Hospitalar";"Grande";"39";"41";"   4,76";"   5,60";"   6,58";"202201";"19/02/2022 09:24:50"
"UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS (304701)";"Médico Hospitalar";"Grande";"37";"40";"   4,95";"   6,10";"   6,54";"202201";"19/02/2022 09:24:50"
"UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO (303976)";"Médico Hospitalar";"Grande";"40";"39";"   4,69";"   6,24";"   6,64";"202201";"19/02/2022 09:24:50"
"UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS (319996)";"Médico Hospitalar";"Grande";"49";"48";"   3,52";"   4,22";"   4,34";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS (422631)";"Médico Hospitalar";"Grande";"26";"30";"   6,76";"   8,20";"   9,22";"202201";"19/02/2022 09:24:50"
"UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO (348261)";"Médico Hospitalar";"Pequeno";"175";"191";"   0,52";"   1,05";"   1,06";"202201";"19/02/2022 09:24:50"
"UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO (337498)";"Médico Hospitalar";"Pequeno";"88";"115";"   2,66";"   2,66";"   3,34";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"   1,95";"   3,24";"202201";"19/02/2022 09:24:50"
"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"   1,22";"202201";"19/02/2022 09:24:50"
"UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO (328073)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"   1,02";"202201";"19/02/2022 09:24:50"
"FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO (418129)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"LIODONTO PLANOS DE ASSISTENCIA E SERVICOS ODONTOLOGICOS EIRELI (422851)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"NOVA ODONTO LTDA. (422665)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"MAIS SAÚDE PLANOS MÉDICOS E ODONTOLÓGICOS LTDA  (420051)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661)";"Médico Hospitalar";"Pequeno";"96";"196";"   2,37";"   4,73";"   7,09";"202201";"19/02/2022 09:24:50"
"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA. (406805)";"Médico Hospitalar";"Pequeno";"94";"104";"   2,51";"   2,52";"   2,52";"202201";"19/02/2022 09:24:50"
"UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (301744)";"Médico Hospitalar";"Pequeno";"123";"189";"   1,58";"   1,58";"   1,58";"202201";"19/02/2022 09:24:50"
"UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA. (343684)";"Médico Hospitalar";"Pequeno";"179";"186";"0,00";"   0,78";"0,00";"202201";"19/02/2022 09:24:50"
"SAÚDE BRB - CAIXA DE ASSISTÊNCIA  (414310)";"Médico Hospitalar";"Pequeno";"179";"183";"0,00";"   0,94";"   0,94";"202201";"19/02/2022 09:24:50"
"HOSPITAL CÉSAR LEITE (314706)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"DANA INDUSTRIAS LTDA. (416118)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI (408522)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"CENIBRA LOGÍSTICA LTDA (422436)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"SOCIEDADE PORTUGUESA DE BENEFICÊNCIA (413372)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"   0,83";"   0,83";"202201";"19/02/2022 09:24:50"
"CENTRO CLINICO NH LTDA. (304212)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"LÍDER COMÉRCIO E INDÚSTRIA LTDA. (412490)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF (358754)";"Médico Hospitalar";"Pequeno";"119";"128";"   1,63";"   3,27";"   3,27";"202201";"19/02/2022 09:24:50"
"CLÍNICA SÃO GABRIEL S/S LTDA (415944)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA ODONTOLÓGICA LTDA (389358)";"Odontológica";"Grande";"11";"18";"   0,15";"   0,15";"   0,18";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO (313751)";"Odontológica";"Grande";"14";"16";"   0,06";"   0,13";"   0,06";"202201";"19/02/2022 09:24:50"
"ZURICH SANTANDER BRASIL ODONTO LTDA. (419354)";"Odontológica";"Médio";"4";"4";"   0,68";"   1,35";"   1,81";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA. (311391)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO PIRACICABA - COOPERATIVA ODONTOLÓGICA (346004)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA ME (417131)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ODONTOCLINICA RCC LTDA. S/S (418111)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE MONTE ALTO COOPERATIVA ODONTOLOGICA (336238)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO SÃO JOSÉ DO RIO PRETO - COOPERATIVA ODONTOLÓGICA (303259)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"OPERADORA DE PLANOS ODONTOLÓGICOS ODONTOCLÍNICA LTDA (420743)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE LIMEIRA COOPERATIVA ODONTOLÓGICA (369462)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
